id,name,city,state,lat,lon,atm_density,base_risk
1,"Vijay Nagar, Indore",Indore,Madhya Pradesh,22.7533,75.8937,28,0.88
2,"Palasia, Indore",Indore,Madhya Pradesh,22.7244,75.8839,22,0.72
3,"Rau, Indore",Indore,Madhya Pradesh,22.6288,75.808,10,0.42
4,"Bhanwarkuan, Indore",Indore,Madhya Pradesh,22.6934,75.8672,19,0.65
5,"Sarafa Bazaar, Indore",Indore,Madhya Pradesh,22.7179,75.8544,15,0.58
6,"Scheme 54, Indore",Indore,Madhya Pradesh,22.761,75.8992,24,0.81
7,"MP Nagar, Bhopal",Bhopal,Madhya Pradesh,23.2332,77.4343,26,0.84
8,"New Market, Bhopal",Bhopal,Madhya Pradesh,23.2363,77.4013,18,0.6
9,"Kolar Road, Bhopal",Bhopal,Madhya Pradesh,23.1856,77.4222,12,0.48
10,"Arera Colony, Bhopal",Bhopal,Madhya Pradesh,23.2132,77.4412,16,0.52
11,"Freeganj, Ujjain",Ujjain,Madhya Pradesh,23.1824,75.7892,14,0.55
12,"Civic Center, Jabalpur",Jabalpur,Madhya Pradesh,23.1686,79.9339,15,0.53
13,"Connaught Place, Delhi",Delhi,Delhi,28.6315,77.2167,35,0.85
14,"Karol Bagh, Delhi",Delhi,Delhi,28.6514,77.1907,30,0.78
15,"Laxmi Nagar, Delhi",Delhi,Delhi,28.6308,77.2773,25,0.74
16,"Rohini Sector 10, Delhi",Delhi,Delhi,28.7159,77.1172,20,0.62
17,"Saket District Centre, Delhi",Delhi,Delhi,28.5245,77.2066,28,0.79
18,"Sector 18, Noida",Noida,Uttar Pradesh,28.5708,77.3271,32,0.83
19,"Cyber City, Gurugram",Gurugram,Haryana,28.495,77.0895,34,0.86
20,"Bandra Kurla Complex, Mumbai",Mumbai,Maharashtra,19.0657,72.8687,40,0.89
21,"Andheri East, Mumbai",Mumbai,Maharashtra,19.1136,72.8697,38,0.84
22,"Borivali West, Mumbai",Mumbai,Maharashtra,19.2307,72.8567,26,0.68
23,"Dadar Commercial, Mumbai",Mumbai,Maharashtra,19.0178,72.8478,32,0.77
24,"Thane West Station Strip, Thane",Thane,Maharashtra,19.186,72.9759,28,0.73
25,"Vashi Sector 17, Navi Mumbai",Navi Mumbai,Maharashtra,19.076,72.9986,25,0.71
26,"Hinjewadi Phase 1, Pune",Pune,Maharashtra,18.5913,73.7389,24,0.75
27,"Kothrud, Pune",Pune,Maharashtra,18.5074,73.8077,20,0.63
28,"Viman Nagar, Pune",Pune,Maharashtra,18.5679,73.9143,22,0.7
29,"Shivaji Nagar, Pune",Pune,Maharashtra,18.5308,73.8475,25,0.74
30,"Koramangala 5th Block, Bengaluru",Bengaluru,Karnataka,12.9352,77.6245,36,0.86
31,"Indiranagar 100ft Road, Bengaluru",Bengaluru,Karnataka,12.9719,77.6412,32,0.82
32,"Whitefield IT Hub, Bengaluru",Bengaluru,Karnataka,12.9698,77.75,26,0.76
33,"HSR Layout Sector 1, Bengaluru",Bengaluru,Karnataka,12.9121,77.6446,25,0.73
34,"Jayanagar 4th Block, Bengaluru",Bengaluru,Karnataka,12.9299,77.5824,22,0.67
35,"Electronic City Phase 1, Bengaluru",Bengaluru,Karnataka,12.8399,77.677,20,0.65
36,"Hitec City, Hyderabad",Hyderabad,Telangana,17.4435,78.3772,34,0.85
37,"Madhapur Main Road, Hyderabad",Hyderabad,Telangana,17.4483,78.3915,28,0.8
38,"Banjara Hills Road 12, Hyderabad",Hyderabad,Telangana,17.4156,78.435,26,0.76
39,"Ameerpet Metro Hub, Hyderabad",Hyderabad,Telangana,17.4375,78.4483,30,0.79
40,"Kukatpally Housing Board, Hyderabad",Hyderabad,Telangana,17.4938,78.3995,24,0.72
41,"Secunderabad Station Hub, Hyderabad",Hyderabad,Telangana,17.4399,78.4983,27,0.74
42,"Salt Lake Sector V, Kolkata",Kolkata,West Bengal,22.5804,88.4378,32,0.84
43,"Park Street Commercial, Kolkata",Kolkata,West Bengal,22.5535,88.3524,28,0.78
44,"New Town Action Area 1, Kolkata",Kolkata,West Bengal,22.593,88.4639,24,0.72
45,"Gariahat Crossing, Kolkata",Kolkata,West Bengal,22.5186,88.3653,22,0.66
46,"Howrah Station Strip, Howrah",Howrah,West Bengal,22.5892,88.3415,26,0.75
47,"Dum Dum Metro Zone, Kolkata",Kolkata,West Bengal,22.6433,88.3967,18,0.6
48,"Malviya Nagar, Jaipur",Jaipur,Rajasthan,26.853,75.805,22,0.74
49,"Vaishali Nagar, Jaipur",Jaipur,Rajasthan,26.9075,75.7397,20,0.69
50,"Mansarovar Sector 3, Jaipur",Jaipur,Rajasthan,26.8524,75.7684,18,0.61
51,"C-Scheme Commercial, Jaipur",Jaipur,Rajasthan,26.9124,75.8033,24,0.76
52,"Raja Park, Jaipur",Jaipur,Rajasthan,26.8966,75.8276,19,0.64
53,"Tonk Road Flyover Zone, Jaipur",Jaipur,Rajasthan,26.8654,75.8001,16,0.58
54,"Hazratganj Main, Lucknow",Lucknow,Uttar Pradesh,26.85,80.9499,26,0.79
55,"Gomti Nagar Vibhuti Khand, Lucknow",Lucknow,Uttar Pradesh,26.8667,81.0,28,0.82
56,"Alambagh Bus Terminal, Lucknow",Lucknow,Uttar Pradesh,26.8145,80.9023,22,0.7
57,"Indira Nagar Sector 14, Lucknow",Lucknow,Uttar Pradesh,26.8833,80.9833,18,0.63
58,"Aliganj Sector H, Lucknow",Lucknow,Uttar Pradesh,26.8942,80.9421,16,0.59
59,"Chowk Bazaar, Lucknow",Lucknow,Uttar Pradesh,26.8672,80.9034,19,0.65
60,"Charbagh Railway Hub, Lucknow",Lucknow,Uttar Pradesh,26.8315,80.9234,24,0.75
